Season,ETD Week,ETA Week,ETA,Transport,Specie,Variety,Importer,Exporter,Arrival port,Vessel,Boxes
2023-2024,49-2023,49-2023,06-12-2023,AIR,Plum,Big Fusion,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,416
2023-2024,49-2023,50-2023,11-12-2023,AIR,Plum,Big Fusion,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,360
2023-2024,50-2023,50-2023,15-12-2023,AIR,Plum,Big Fusion,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,216
2023-2024,50-2023,52-2023,28-12-2023,CHARTER,Plum,Big Fusion,Bengard Marketing,Tuniche Fruits,Gloucester,Crown Opal,624
2023-2024,50-2023,52-2023,28-12-2023,CHARTER,Plum,Black Nectar,Kingsburg Orchards,C Y D S.a.,Gloucester,Crown Opal,449
2023-2024,50-2023,52-2023,28-12-2023,CHARTER,Plum,Big Fusion,Sierra Produce,C Y D S.a.,Gloucester,Crown Opal,2960
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Big Fusion,Bengard Marketing,Tuniche Fruits,Los Angeles,Msc Sasha,2184
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Black Splendor,Forever Fresh Llc,La Higuera S.a.,Filadelfia,Msc Sasha,2664
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Black Splendor,Pacific Trellis Fruit,La Higuera S.a.,Filadelfia,Msc Sasha,2768
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Big Fusion,Sierra Produce,C Y D S.a.,Los Angeles,Msc Sasha,2192
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Black Splendor,Sierra Produce,La Higuera S.a.,Los Angeles,Msc Sasha,1408
2023-2024,50-2023,52-2023,28-12-2023,LINER,Plum,Black Splendor,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Msc Sasha,1408
2023-2024,51-2023,51-2023,23-12-2023,AIR,Plum,Black Ambar,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,229
2023-2024,51-2023,51-2023,23-12-2023,AIR,Plum,Black Splendor,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,995
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Big Fusion,Bengard Marketing,Tuniche Fruits,Los Angeles,Msc Domitille,624
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Black Splendor,David Oppenheimer Inc.,Agric.montolin,Filadelfia,Msc Domitille,752
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Black Splendor,Forever Fresh Llc,La Higuera S.a.,Filadelfia,Msc Domitille,2672
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Black Splendor,Ig Fruit Dba Direct,Agric.montolin,Filadelfia,Msc Domitille,1552
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Black Splendor,Pacific Trellis Fruit,La Higuera S.a.,Filadelfia,Msc Domitille,2584
2023-2024,51-2023,1-2024,04-01-2024,LINER,Plum,Black Splendor,Sierra Produce,La Higuera S.a.,Los Angeles,Msc Domitille,2672
2023-2024,52-2023,52-2023,29-12-2023,AIR,Plum,Saphiro,Contel Fresh Inc.,Soc.c & L Frut,Miami,AIR,1936
2023-2024,52-2023,52-2023,31-12-2023,AIR,Plum,Sapphire,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,400
2023-2024,52-2023,52-2023,31-12-2023,AIR,Plum,Sapphire,David Oppenheimer Inc.,Geofrut Ltda.,Miami,AIR,1200
2023-2024,52-2023,2-2024,08-01-2024,CHARTER,Plum,Big Fusion,Sierra Produce,C Y D S.a.,Gloucester,Ditlev Reefer,1074
2023-2024,52-2023,2-2024,11-01-2024,LINER,Plum,Black Splendor,Ig Fruit Dba Direct,Agric.montolin,Filadelfia,Anthea Y,120
2023-2024,52-2023,2-2024,11-01-2024,LINER,Plum,Black Splendor,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Anthea Y,2640
2023-2024,1-2024,1-2024,07-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,560
2023-2024,1-2024,1-2024,07-01-2024,AIR,Plum,Sapphire,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,880
2023-2024,1-2024,2-2024,08-01-2024,AIR,Plum,Ebony,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,1576
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Black Splendor,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,207
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Royal Ebony,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,1173
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Black Giant,Bengard Marketing,Tuniche Fruits,Los Angeles,Ivar Reefer,123
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Early Anne,Bengard Marketing,Tuniche Fruits,Los Angeles,Ivar Reefer,29
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Royal Ebony,Bengard Marketing,Tuniche Fruits,Los Angeles,Ivar Reefer,1200
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Yummi Beaut,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,232
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Sapphire,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ivar Reefer,2480
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Sapphire,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Ivar Reefer,120
2023-2024,1-2024,3-2024,15-01-2024,CHARTER,Plum,Sapphire,Sierra Produce,Exp.agua Santa,Los Angeles,Ivar Reefer,1080
2023-2024,1-2024,3-2024,18-01-2024,LINER,Plum,Black Ambar,Forever Fresh Llc,Verfrut Spa,Filadelfia,Cma Cgm Beira,775
2023-2024,1-2024,3-2024,18-01-2024,LINER,Plum,Black Splendor,Forever Fresh Llc,Verfrut Spa,Filadelfia,Cma Cgm Beira,1354
2023-2024,1-2024,3-2024,18-01-2024,LINER,Plum,Queen Rosa,Forever Fresh Llc,Verfrut Spa,Filadelfia,Cma Cgm Beira,271
2023-2024,2-2024,2-2024,09-01-2024,AIR,Plum,Black Giant,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,352
2023-2024,2-2024,2-2024,10-01-2024,AIR,Plum,Ebony,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,1440
2023-2024,2-2024,2-2024,10-01-2024,AIR,Plum,Ebony,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,936
2023-2024,2-2024,2-2024,11-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,440
2023-2024,2-2024,2-2024,12-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Miami,AIR,1280
2023-2024,2-2024,2-2024,12-01-2024,AIR,Plum,Ebony,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,1354
2023-2024,2-2024,2-2024,12-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,528
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,3520
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,405
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,616
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Black Ambar,Direct Sourcing Logistics In,Greenvic,Miami,AIR,144
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Yummy Giant,Direct Sourcing Logistics In,Greenvic,Miami,AIR,599
2023-2024,2-2024,2-2024,13-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,616
2023-2024,2-2024,2-2024,14-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Los Angeles,AIR,440
2023-2024,2-2024,3-2024,15-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,2200
2023-2024,2-2024,3-2024,15-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,723
2023-2024,2-2024,3-2024,15-01-2024,AIR,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,720
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Glory,A La Orden,Agricom Ltda.,Los Angeles,Msc Elma,463
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Los Angeles,Msc Elma,524
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Zafiro,A La Orden,Agricom Ltda.,Los Angeles,Msc Elma,1605
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Ambar,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Elma,990
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Splendor,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Elma,1410
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Ambar,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Elma,1021
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Splendor,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Elma,1826
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Queen Rosa,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Elma,1953
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Ambar,Sierra Produce,Verfrut Spa,Filadelfia,Msc Elma,55
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Black Splendor,Sierra Produce,Verfrut Spa,Filadelfia,Msc Elma,377
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Owen T,Sierra Produce,Verfrut Spa,Filadelfia,Msc Elma,340
2023-2024,2-2024,3-2024,20-01-2024,LINER,Plum,Queen Rosa,Sierra Produce,Verfrut Spa,Filadelfia,Msc Elma,1628
